"","UserId","0h-2h","2h-4h","4h-6h","6h-8h","8h-10h","10h-12h","12h-14h","14h-16h","16h-18h","18h-20h","20h-22h","22h-0h"
"1","AASWX/IxNoA=",0,0,0,0,7.89473684210526,21.0526315789474,26.3157894736842,26.3157894736842,18.4210526315789,0,0,0
"2","AATIQPIxNoA=",0,0,0,8.92857142857143,41.0714285714286,39.2857142857143,10.7142857142857,0,0,0,0,0
"3","AARTRfIxNoA=",0,0,0,0,8.69565217391304,15.2173913043478,21.7391304347826,39.1304347826087,15.2173913043478,0,0,0
"4","AAStJPIxNoA=",0,0,0,0,50,33.3333333333333,0,0,16.6666666666667,0,0,0
"5","AATQbfIxNoA=",0,0,0,0,0,0,0,33.3333333333333,0,66.6666666666667,0,0
"6","AASaVfIxNoA=",0,0,60,40,0,0,0,0,0,0,0,0
"7","AARgRfIxNoA=",0,0,1.51515151515152,7.57575757575758,18.1818181818182,21.2121212121212,13.6363636363636,27.2727272727273,9.09090909090909,1.51515151515152,0,0
"8","/TkrQNP9sGE=",0,0,0,5.88235294117647,29.4117647058824,0,5.88235294117647,5.88235294117647,41.1764705882353,5.88235294117647,5.88235294117647,0
"9","UfIPEzEzh2E=",0,0,0,0,30.4347826086957,30.4347826086957,21.7391304347826,8.69565217391304,8.69565217391304,0,0,0
"10","AARGUvIxNoA=",0,0,0,18.1818181818182,45.4545454545455,9.09090909090909,27.2727272727273,0,0,0,0,0
"11","ERERERERERE=",0,0,0,0,28.5714285714286,0,42.8571428571429,28.5714285714286,0,0,0,0
"12","jzaUttwaTGE=",0,0,0,9.80392156862745,32.3529411764706,17.6470588235294,16.6666666666667,19.6078431372549,3.92156862745098,0,0,0
"13","AAAAAAAAIBQ=",0,0,0,0,50,0,25,25,0,0,0,0
"14","IJtUY/9fDWE=",0,0,0,0,37.5,12.5,0,50,0,0,0,0
"15","HwiAGCAHnGE=",100,0,0,0,0,0,0,0,0,0,0,0
"16","AASgKPIxNoA=",0,0,0,2.7027027027027,16.2162162162162,29.7297297297297,18.9189189189189,10.8108108108108,8.10810810810811,13.5135135135135,0,0
"17","SpgasYFGpWE=",0,0,0,0,18.75,12.5,43.75,25,0,0,0,0
"18","1sSFyc8CbWE=",0,0,0,0,33.3333333333333,16.6666666666667,16.6666666666667,33.3333333333333,0,0,0,0
"19","0kgxeDOl3mE=",0,0,0,3.73134328358209,20.1492537313433,20.8955223880597,14.9253731343284,16.4179104477612,21.6417910447761,2.23880597014925,0,0
"20","AASiUfIxNoA=",0,0,4.76190476190476,23.8095238095238,9.52380952380952,0,9.52380952380952,9.52380952380952,42.8571428571429,0,0,0
"21","AARfUvIxNoA=",0,0,0,33.3333333333333,0,0,0,33.3333333333333,33.3333333333333,0,0,0
"22","AARxIvIxNoA=",0,0,0,25,37.5,25,6.25,6.25,0,0,0,0
"23","AAR+UPIxNoA=",0,0,0,0,0,0,20,20,60,0,0,0
"24","1JLiVqnZMWE=",0,0,0,0,5.55555555555556,30.5555555555556,13.8888888888889,13.8888888888889,22.2222222222222,13.8888888888889,0,0
"25","Tx9/iLWLw2E=",0,0,0,11.1111111111111,11.1111111111111,11.1111111111111,22.2222222222222,44.4444444444444,0,0,0,0
"26","ZGquGXn3BWE=",0,0,0,25,75,0,0,0,0,0,0,0
"27","AAQqmyp1M4A=",0,0,0,6,18,16,34,20,2,4,0,0
